timestamp,ax,ay,az,gx,gy,gz,alt,temp
1765523782000,0.85,-0.63,-0.76,0.33,-0.61,0.77,2.10,30.70
1765523782000,0.75,-0.23,-0.89,-0.20,0.20,0.29,75.50,29.20
1765523782000,-0.37,-0.59,0.20,0.60,-0.13,-0.48,72.50,30.70
1765523782000,0.35,-0.02,0.58,-0.95,-0.21,0.58,97.00,31.50
1765523782000,0.48,0.94,0.98,0.39,0.72,0.71,19.70,29.70
1765523782000,-0.51,-0.92,0.80,0.21,0.38,0.35,11.50,30.30
1765523782000,0.28,0.87,0.13,-0.84,0.91,0.90,7.30,32.80
1765523783000,-0.11,0.84,-0.17,0.68,-0.06,-0.46,98.50,34.40
1765523783000,-0.52,0.83,0.34,-0.80,0.07,-0.17,92.00,25.80
1765523783000,-0.09,0.00,0.81,0.81,0.87,-0.04,33.50,26.60
1765523783000,-0.17,-0.52,-0.16,-0.74,-0.61,0.09,70.50,33.00
1765523783000,-0.55,0.88,-0.52,0.40,0.94,-0.66,68.60,34.50
1765523783000,0.69,-0.80,0.67,-0.72,0.03,-0.13,53.60,29.70
1765523783000,0.39,0.17,0.28,0.27,0.65,-0.37,79.50,25.00
1765523783000,-0.36,-0.21,-0.73,-0.45,0.40,0.32,33.50,33.60
1765523783000,-0.28,0.35,0.26,-0.81,0.69,0.64,41.40,34.10
1765523783000,0.85,0.33,0.19,-0.60,0.73,-0.92,53.90,26.20
1765523783000,0.25,-0.32,0.91,-0.09,-0.17,0.86,4.30,29.70
1765523783000,-0.83,-0.30,0.54,0.58,-0.98,-0.11,54.40,27.70
1765523783000,-0.75,-0.78,-0.54,0.46,0.86,-0.88,18.90,27.30
1765523783000,0.45,0.09,0.16,-0.30,0.17,-0.45,58.30,34.40
1765523783000,-0.25,0.74,-0.63,0.59,0.61,-0.19,25.80,32.80
1765523783000,0.51,-0.87,-0.12,0.06,-0.46,-0.68,73.30,28.10
1765523783000,-0.46,0.31,0.30,-0.59,0.43,0.19,71.60,29.00
1765523783000,0.80,-0.68,0.11,-0.51,-0.12,-0.06,24.40,31.30
1765523783000,-0.80,-0.19,-0.26,0.33,0.62,0.33,46.40,31.60
1765523783000,-0.02,0.52,0.24,0.52,0.85,-0.43,53.60,34.10
1765523784000,0.40,-0.34,0.84,-0.17,0.85,0.01,7.50,26.80
1765523784000,0.33,0.86,0.67,0.73,-0.68,-0.89,48.90,30.30
1765523784000,-0.55,0.63,0.38,0.59,-0.52,-0.98,22.50,29.60
1765523784000,0.07,0.49,-0.49,-0.08,0.58,0.87,3.50,34.80
1765523784000,-0.47,-0.80,0.33,0.90,-0.27,-0.91,10.80,25.60
1765523784000,0.47,-0.72,0.32,0.80,-0.61,0.73,58.50,28.60
1765523784000,0.36,0.23,0.96,0.85,-0.22,0.73,88.30,33.50
1765523784000,-0.25,0.34,-0.71,-0.67,0.21,-0.36,8.40,27.60
1765523784000,-0.64,0.69,0.17,0.09,0.78,0.77,86.80,32.80
1765523784000,-0.95,-1.00,-0.42,0.97,0.73,0.95,83.30,31.10
1765523784000,-0.30,0.81,0.98,0.00,0.55,-0.18,8.50,28.00
1765523784000,0.68,-0.34,-0.85,-0.58,-0.17,-0.49,16.80,26.90
1765523784000,-0.79,-0.63,-0.71,0.51,0.67,-0.03,62.90,32.20
1765523784000,-0.51,-0.61,0.21,-0.78,-0.66,0.07,3.50,30.70
1765523784000,-0.12,-0.66,0.57,0.95,-0.32,0.95,77.70,28.60
1765523784000,-0.39,0.93,-0.22,0.44,-0.56,0.99,66.40,26.70
1765523784000,-0.64,-0.55,0.21,-0.97,0.42,0.50,52.80,34.10
1765523784000,0.42,-0.51,0.65,0.28,0.08,0.52,18.50,34.70
1765523784000,0.38,0.43,0.92,-0.94,0.38,0.70,59.50,30.10
1765523784000,0.15,-0.75,-0.04,0.11,-0.76,0.12,68.10,26.30
1765523785000,0.57,-0.98,0.68,-0.49,0.52,-0.04,39.40,29.60
1765523785000,-0.02,0.11,0.75,-0.94,-0.37,0.12,75.50,25.20
1765523785000,-0.93,0.00,0.60,-0.03,-0.78,0.07,4.90,33.90
1765523785000,0.33,-0.03,-1.00,0.09,0.61,-0.19,87.40,26.80
1765523785000,-0.17,-0.57,0.21,0.88,-0.09,0.15,78.60,29.10
1765523785000,0.78,0.61,0.00,-0.59,-0.74,-0.45,39.50,28.30
1765523785000,0.07,0.56,0.31,0.29,-0.85,0.80,61.80,25.00
1765523785000,-0.23,0.71,-0.90,-0.62,-0.48,-0.64,70.80,33.80
1765523785000,-0.21,0.81,-0.72,0.23,-0.52,-0.86,46.40,27.60
1765523785000,0.28,0.64,-0.81,0.54,0.72,-0.85,73.90,32.90
1765523785000,0.23,-0.30,0.61,0.38,-0.50,0.31,43.90,32.90
1765523785000,0.02,-0.99,-0.31,0.07,-0.63,0.29,59.50,31.90
1765523785000,0.10,0.75,0.44,0.10,0.41,0.60,93.60,27.10
1765523785000,-0.23,0.56,0.75,-0.51,0.23,0.15,28.00,34.80
